budget,genres,id,popularity,release_date,revenue,title,vote_average,vote_count,release_year,return,cast,director_name
62000000,"['Comedy', 'Drama', 'Romance']",9087,6.318445,1995-11-17,107879496.0,The American President,6.5,199.0,1995.0,1.739991870967742,"['Michael Douglas', 'Annette Bening', 'Michael J. Fox', 'Martin Sheen', 'Anna Deavere Smith', 'Shawna Waldron', 'Samantha Mathis', 'David Paymer', 'Richard Dreyfuss', 'Nina Siemaszko', 'Wendie Malick', 'Beau Billingslea', 'Gail Strickland', 'Joshua Malina', 'Clement von Franckenstein', 'John Mahoney', 'John Mahon', 'Gabriel Jarret']",Rob Reiner
0,"['Comedy', 'Horror']",12110,5.430331,1995-12-22,0.0,Dracula: Dead and Loving It,5.7,210.0,1995.0,0.0,"['Leslie Nielsen', 'Mel Brooks', 'Amy Yasbeck', 'Peter MacNicol', 'Lysette Anthony', 'Harvey Korman', 'Steven Weber', 'Mark Blankfield', 'Megan Cavanagh', 'Gregg Binkley', 'Anne Bancroft']",Mel Brooks
0,"['Family', 'Animation', 'Adventure']",21032,12.140733,1995-12-22,11348324.0,Balto,7.1,423.0,1995.0,0.0,"['Kevin Bacon', 'Bob Hoskins', 'Bridget Fonda', 'Jim Cummings', 'Phil Collins', 'Juliette Brewer', 'Jack Angel', 'Danny Mann', 'Robbie Rist', 'Sandra Dickinson', 'Frank Welker', 'Miriam Margolyes', 'Lola Bates-Campbell']",Simon Wells
44000000,"['History', 'Drama']",10858,5.092,1995-12-22,13681765.0,Nixon,7.1,72.0,1995.0,0.3109492045454545,"['Anthony Hopkins', 'Joan Allen', 'Powers Boothe', 'Ed Harris', 'Bob Hoskins', 'E.G. Marshall', 'David Paymer', 'David Hyde Pierce', 'Paul Sorvino', 'Mary Steenburgen', 'J.T. Walsh', 'James Woods', 'Brian Bedford', 'Kevin Dunn', 'Fyvush Finkel', 'Annabeth Gish', 'Larry Hagman', 'Madeline Kahn', 'Dan Hedaya', 'Bridgette Wilson', 'Tom Bower', 'Tony Goldwyn', 'Edward Herrmann', 'Tony Lo Bianco', 'Saul Rubinek', 'Robert Beltran', 'John Cunningham', 'John Diehl', 'John C. McGinley', 'Michael Chiklis', 'Ric Young', 'Boris Sichkin', 'Sam Waterston', 'Marley Shelton']",Oliver Stone
98000000,"['Action', 'Adventure']",1408,7.284477,1995-12-22,10017322.0,Cutthroat Island,5.7,137.0,1995.0,0.1022175714285714,"['Geena Davis', 'Matthew Modine', 'Frank Langella', 'Maury Chaykin', 'Patrick Malahide', 'Stan Shaw', 'Rex Linn', 'Paul Dillon', 'Christopher Masterson', 'Jimmie F. Skaggs', 'Harris Yulin', 'Carl Chase', 'Peter Geeves', 'Angus Wright', 'Ken Bones', 'Mary Peach', 'Thomas Lockyer', 'Roger Booth', 'George Murcell', 'Simon Atherton', 'Dickey Beer', 'Christopher Halliday', 'Chris Johnston', 'Richard Leaf', 'Tam White', 'Rupert Vansittart', 'Nick Bartlett', 'David Bailie', 'Kwame Kwei-Armah', 'Ramon Tikaram', 'Christopher Adamson']",Renny Harlin
52000000,"['Drama', 'Crime']",524,10.137389,1995-11-22,116112375.0,Casino,7.8,1343.0,1995.0,2.2329302884615383,"['Robert De Niro', 'Sharon Stone', 'Joe Pesci', 'James Woods', 'Don Rickles', 'Alan King', 'Kevin Pollak', 'Pasquale Cajano', 'L.Q. Jones', 'Dick Smothers', 'Frank Vincent', 'Oscar Goodman', 'Richard Riehle', 'Catherine Scorsese', 'Vinny Vella', 'Nobu Matsuhisa', 'Erika von Tagen', 'Nick Mazzola', 'David Rose', 'John Bloom', 'Joseph Rigano', 'Philip Suriano', 'Melissa Prophet', 'Bill Allison', 'Joe La Due', 'Joseph P. Reidy', 'Craig Vincent', 'Carl Ciarfalio', 'Gene Ruffini', 'Dominick Grieco', 'Clem Caserta', 'Daniel P. Conte', 'Joey DePinto', 'Jack Orend', 'Paul Herman', 'Jed Mills', 'Claudia Haro', 'Ffolliott Le Coque', 'John Manca', 'Ronald Maccone', 'Joseph Bono', 'Frank Adonis', 'Anthony Russell', 'Stuart Nisbet', 'Alfred Nittoli']",Martin Scorsese
16500000,"['Drama', 'Romance']",4584,10.673167,1995-12-13,135000000.0,Sense and Sensibility,7.2,364.0,1995.0,8.181818181818182,"['Kate Winslet', 'Emma Thompson', 'Hugh Grant', 'Tom Wilkinson', 'Alan Rickman', 'Imogen Stubbs', 'Greg Wise', 'Hugh Laurie', 'Imelda Staunton', 'Robert Hardy', 'Oliver Ford Davies', 'James Fleet', 'Harriet Walter', 'Gemma Jones', 'Emilie François', 'Elizabeth Spriggs', 'Richard Lumsden']",Ang Lee
4000000,"['Crime', 'Comedy']",5,9.026586,1995-12-09,4300000.0,Four Rooms,6.5,539.0,1995.0,1.075,"['Tim Roth', 'Antonio Banderas', 'Jennifer Beals', 'Madonna', 'Marisa Tomei', 'Bruce Willis', 'Quentin Tarantino', 'Sammi Davis', 'Amanda de Cadenet', 'Valeria Golino', 'Lili Taylor', 'Lawrence Bender', 'Ione Skye', 'Alicia Witt', 'David Proval', 'Lana McKissack', 'Tamlyn Tomita', 'Kathy Griffin', 'Paul Calderon', 'Salma Hayek', 'Patricia Vonne', 'Danny Verduzco', 'Kimberly Blair', 'Marc Lawrence']",Allison Anders
30000000,"['Crime', 'Comedy', 'Adventure']",9273,8.205448,1995-11-10,212385533.0,Ace Ventura: When Nature Calls,6.1,1128.0,1995.0,7.079517766666667,"['Jim Carrey', 'Ian McNeice', 'Simon Callow', 'Maynard Eziashi', 'Bob Gunton', 'Sophie Okonedo', 'Tommy Davidson', 'Adewale Akinnuoye-Agbaje', 'Danny D. Daniels', 'Sam Motoana Phillips', 'Damon Standifer', 'Andrew Steel', 'Bruce Spence', 'Tom Grunke', ""Arsenio 'Sonny' Trinidad""]",Steve Oedekerk
60000000,"['Action', 'Comedy', 'Crime']",11517,7.337906,1995-11-21,35431113.0,Money Train,5.4,224.0,1995.0,0.59051855,"['Wesley Snipes', 'Woody Harrelson', 'Jennifer Lopez', 'Robert Blake', 'Chris Cooper', 'Joe Grifasi', 'Scott Sowers', 'Skipp Sudduth', 'Aida Turturro', 'Vincent Pastore', 'Enrico Colantoni', 'Bill Nunn', 'Katie Gill', 'Jeremy Roberts', 'Joe Bacino']",Joseph Ruben
30250000,"['Comedy', 'Thriller', 'Crime']",8012,12.669608,1995-10-20,115101622.0,Get Shorty,6.4,305.0,1995.0,3.805012297520661,"['John Travolta', 'Gene Hackman', 'Rene Russo', 'Danny DeVito', 'Dennis Farina', 'Delroy Lindo', 'James Gandolfini', 'Jon Gries', 'Renee Props', 'David Paymer', 'Martin Ferrero', 'Miguel Sandoval', 'Jacob Vargas', 'Bobby Slayton', 'Linda Hart', 'Jeffrey J. Stephen']",Barry Sonnenfeld
0,"['Drama', 'Thriller']",1710,10.701801,1995-10-27,0.0,Copycat,6.5,199.0,1995.0,0.0,"['Sigourney Weaver', 'Holly Hunter', 'Will Patton', 'William McNamara', 'Harry Connick Jr.', 'J.E. Freeman', 'Dermot Mulroney', 'John Rothman', ""Shannon O'Hurley"", 'Bob Greene', 'Tony Haney', 'Danny Kovacs', 'Tahmus Rounds', 'Scott Devenney', 'David Michael Silverman']",Jon Amiel
50000000,"['Action', 'Adventure', 'Crime', 'Thriller']",9691,11.065939,1995-10-06,30303072.0,Assassins,6.0,394.0,1995.0,0.60606144,"['Sylvester Stallone', 'Antonio Banderas', 'Julianne Moore', 'Anatoli Davydov', 'Muse Watson', 'Steve Kahan', 'Kelly Rowan', 'Reed Diamond', 'Kai Wulff', 'Kerry Skalsky', 'James Douglas Haskins', 'Stephen Liska', 'John Harms', 'Edward J. Rosen', 'Christina Orchid', 'Choco Orta', 'Germán Legarreta']",Richard Donner
0,"['Drama', 'Fantasy', 'Science Fiction', 'Thriller']",12665,12.133094,1995-10-27,0.0,Powder,6.3,143.0,1995.0,0.0,"['Mary Steenburgen', 'Sean Patrick Flanery', 'Lance Henriksen', 'Jeff Goldblum', 'Brandon Smith']",Victor Salva
3600000,"['Drama', 'Romance']",451,10.332025,1995-10-27,49800000.0,Leaving Las Vegas,7.1,365.0,1995.0,13.833333333333334,"['Nicolas Cage', 'Elisabeth Shue', 'Julian Sands', 'Richard Lewis', 'Steven Weber', 'Kim Adams', 'Emily Procter', 'Stuart Reynolds ', 'Valeria Golino', 'Graham Beckel', 'Mariska Hargitay', 'Laurie Metcalf', 'Shawnee Smith', 'David Kriegel']",Mike Figgis
0,['Drama'],16420,1.845899,1995-12-15,0.0,Othello,7.0,33.0,1995.0,0.0,"['Laurence Fishburne', 'Irène Jacob', 'Kenneth Branagh', 'Nathaniel Parker', 'Indra Ové', 'Michael Maloney', 'Anna Patrick', 'Nicholas Farrell', 'Michael Sheen']",Oliver Parker
12000000,"['Comedy', 'Drama', 'Family']",9263,8.681325,1995-10-20,27400000.0,Now and Then,6.6,91.0,1995.0,2.283333333333333,"['Christina Ricci', ""Rosie O'Donnell"", 'Thora Birch', 'Melanie Griffith', 'Gaby Hoffmann', 'Demi Moore', 'Ashleigh Aston Moore', 'Rita Wilson', 'Walter Sparrow', 'Devon Sawa', 'Cloris Leachman', 'Janeane Garofalo', 'Hank Azaria', 'Bonnie Hunt', 'Lolita Davidovich', 'Brendan Fraser']",Lesli Linka Glatter
0,"['Drama', 'Romance']",17015,2.228434,1995-09-27,0.0,Persuasion,7.4,36.0,1995.0,0.0,"['Amanda Root', 'Ciarán Hinds', 'Susan Fleetwood', 'Fiona Shaw', 'John Woodvine', 'Phoebe Nicholls', 'Samuel West', 'Sophie Thompson', 'Judy Cornwell', 'Simon Russell Beale', 'Felicity Dean', 'Roger Hammond', 'Victoria Hamilton', 'Corin Redgrave', 'Emma Roberts', 'Robert Glenister', 'Richard McCabe', 'Helen Schlesinger', 'Jane Wood', 'David Collings', 'Darlene Johnson', 'Cinnamon Faye', 'Isaac Maxwell-Hunt', 'Roger Llewellyn', 'Sally George', 'Lonnie James']",Roger Michell
18000000,"['Fantasy', 'Science Fiction', 'Adventure']",902,9.822423,1995-05-16,1738611.0,The City of Lost Children,7.6,308.0,1995.0,0.0965895,"['Ron Perlman', 'Dominique Pinon', 'Judith Vittet', 'Daniel Emilfork', 'Jean-Claude Dreyfus', 'Geneviève Brunet', 'Odile Mallet', 'Mireille Mossé', 'Serge Merlin', 'Rufus', 'Ticky Holgado', 'Cris Huerta', 'Jean-Louis Trintignant', 'Joseph Lucien', 'Mapi Galán', 'Briac Barthélémy', 'Pierre-Quentin Faesch', 'Alexis Pivot', 'François Hadji-Lazaro', 'Dominique Bettenfeld', 'Lotfi Yahya Jedidi', 'Thierry Gibault', 'Marc Caro', 'Ham-Chau Luong', 'Frankie Pain', 'Enrique Villanueva', 'Dominique Chevalier', 'Lorella Cravotta', 'Éric Houzelot', 'Philippe Beautier', 'Marc Amyot', 'Jean-Philippe Labadie', 'Raphaèle Bouchard', 'Elisabeth Etienne', 'Rachel Boulenger', 'Michel Motu', 'Nane Germon']",Jean-Pierre Jeunet
0,"['Drama', 'Crime']",37557,1.100915,1995-04-30,0.0,Shanghai Triad,6.5,17.0,1995.0,0.0,"['Gong Li', 'Li Bao-Tian', 'Wang Xiaoxiao', 'Li Xuejian', 'Chun Sung', 'Fu Biao']",Zhang Yimou
0,"['Drama', 'Crime']",9909,9.481338,1995-08-11,180000000.0,Dangerous Minds,6.4,249.0,1995.0,0.0,"['Michelle Pfeiffer', 'George Dzundza', 'Courtney B. Vance', 'Robin Bartlett', 'John Neville', 'Beatrice Winde', 'Lorraine Toussaint', 'Renoly Santiago', 'Wade Dominguez', 'Bruklin Harris', 'Mercello Thedford', 'Roberto Alvarez', 'Richard Grant', 'Marisela Gonzales', 'Toni Nichelle Buzhardt']",John N. Smith
29500000,"['Science Fiction', 'Thriller', 'Mystery']",63,12.297305,1995-12-29,168840000.0,Twelve Monkeys,7.4,2470.0,1995.0,5.7233898305084745,"['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt', 'Christopher Plummer', 'David Morse', 'Jon Seda', 'Frank Gorshin', 'Joseph Melito', 'Aaron Michael Lacey', 'Christopher Meloni', 'Joey Perillo', 'LisaGay Hamilton', 'Matt Ross', 'Annie Golden', 'Michael Chance', 'Vernon Campbell', 'H. Michael Walls', 'Bob Adrian', 'Simon Jones', 'Carol Florence', 'Bill Raymond', 'Ernest Abuba', 'Irma St. Paule', 'Rozwill Young', 'Nell Johnson', 'Frederick Strother', 'Charles Techman', 'Rick Warner', ""Anthony 'Chip' Brienza"", 'Bruce Kirkpatrick', 'Wilfred Williams', 'Joilet Harris', 'Drucie McDaniel', 'John Blaisse', 'Louis Lippa', 'Stan Kang', 'Pat Dias', 'Felix Pire', 'Karl Warren', 'Joseph McKenna', 'Stephen Bridgewater', 'Ray Huffman', 'Charley Scalies', ""Robert O'Neill"", 'Paul Meshejian', 'Kevin Thigpen', ""Harry O'Toole"", 'Jann Ellis', 'Michael Ryan Segal', 'Korchenko', 'Chuck Jeffreys', 'Barry Price', 'John Panzarella', 'Janet Zappala', 'Lisa Talerico', 'Tiffany Baldwin', 'C.J. Byrnes', 'Tom Detrik', 'Joe Gerety', 'Renee Spei', 'Bonnie Loev', 'Raymond Mamrak', 'Sal Mazzotta', 'Allelon Ruggiero', 'Thang']",Terry Gilliam
0,"['Romance', 'Adventure']",78802,0.745542,1996-09-18,0.0,Wings of Courage,6.8,4.0,1996.0,0.0,"['Craig Sheffer', 'Elizabeth McGovern', 'Tom Hulce', 'Ken Pogue', 'Ron Sauvé', 'Val Kilmer', 'Freddy Andreiuci']",Jean-Jacques Annaud
30000000,"['Fantasy', 'Drama', 'Comedy', 'Family']",9598,14.404764,1995-07-18,254134910.0,Babe,6.0,756.0,1995.0,8.471163666666667,"['Christine Cavanaugh', 'Miriam Margolyes', 'Danny Mann', 'Hugo Weaving', 'Miriam Flynn', 'James Cromwell', 'Russi Taylor', 'Evelyn Krape', 'Michael Edward-Stevens', 'Charles Bartlett', 'Paul Livingston', 'Roscoe Lee Browne', 'Magda Szubanski', 'Zoe Burton', 'Paul Goddard', 'Wade Hayward', 'Brittany Byrnes', 'Mary Acres']",Chris Noonan
0,"['History', 'Drama', 'Romance']",47018,1.493361,1995-11-08,0.0,Carrington,6.4,16.0,1995.0,0.0,"['Emma Thompson', 'Jonathan Pryce', 'Steven Waddington', 'Samuel West', 'Rufus Sewell', 'Penelope Wilton', 'Janet McTeer', 'Jeremy Northam', 'Alex Kingston', 'Richard Clifford', 'David Ryall', 'Stephen Boxer']",Christopher Hampton
11000000,['Drama'],687,6.891317,1995-12-29,39363635.0,Dead Man Walking,7.3,350.0,1995.0,3.5785122727272727,"['Susan Sarandon', 'Sean Penn', 'Robert Prosky', 'Raymond J. Barry', 'R. Lee Ermey', 'Celia Weston', 'Lois Smith', 'Scott Wilson', 'Roberta Maxwell', 'Margo Martindale', 'Jack Black', 'Ray Aranha', 'Peter Sarsgaard', 'Barton Heyman', 'Steve Boles', 'Nesbitt Blaisdell', 'Larry Pine', 'Kevin Cooney', 'Clancy Brown', 'Michael Cullen', 'Missy Yager', 'Jenny Krochmal', 'Jon Abrahams', 'Arthur Bridgers', 'Steve Carlisle', 'Eva Amurri Martino', 'Jack Henry Robbins', 'Dennis Neal', 'Molly Bryant', 'Adele Robbins', 'Pete Burris', 'Joan Glover', 'Lenore Banks', 'Scott Sowers', 'Cortez Nance Jr.', 'Adam Nelson', 'Jeremy Knaster', 'Marcus Lyle Brown', 'Anthony Michael Frederick', 'Thomas McGowan', 'Codie Scott', 'Helen Prejean']",Tim Robbins
0,"['Adventure', 'History', 'Drama', 'Family']",139405,0.114469,1995-10-20,0.0,Across the Sea of Time,3.5,2.0,1995.0,0.0,"['Peter Reznick', 'John McDonough', 'Avi Hoffman', 'Matt Malloy', 'Abby Lewis']",Stephen Low
0,"['Comedy', 'Family', 'Romance']",33689,7.777735,1995-11-17,0.0,It Takes Two,6.1,149.0,1995.0,0.0,"['Kirstie Alley', 'Steve Guttenberg', 'Ashley Olsen', 'Mary-Kate Olsen', 'Jane Sibbett', 'Philip Bosco', 'Michelle Grisom', 'Desmond Robertson', 'Tiny Mills', 'Shanelle Henry', 'Michèle Lonsdale Smith', 'Sean Orr', 'Elizabeth Walsh']",Andy Tennant
12000000,"['Comedy', 'Drama', 'Romance']",9603,9.882383,1995-07-19,0.0,Clueless,6.9,828.0,1995.0,0.0,"['Alicia Silverstone', 'Stacey Dash', 'Brittany Murphy', 'Paul Rudd', 'Donald Faison', 'Elisa Donovan', 'Breckin Meyer', 'Jeremy Sisto', 'Dan Hedaya', 'Wallace Shawn', 'Twink Caplan', 'Justin Walker', 'Julie Brown', 'Nicole Bilderback']",Amy Heckerling
0,['Drama'],34615,0.894647,1995-12-15,676525.0,"Cry, the Beloved Country",6.7,13.0,1995.0,0.0,"['James Earl Jones', 'Charles S. Dutton', 'Jack Robinson', 'Tsholofelo Wechoemang', 'Ramalao Makhene', 'Richard Harris', 'Dolly Rathebe', 'Jennifer Steyn', 'Ian Roberts', 'David Clatworthy']",Darrell James Roodt
0,"['Drama', 'War']",31174,4.561387,1995-12-29,0.0,Richard III,6.9,50.0,1995.0,0.0,"['Ian McKellen', 'Annette Bening', 'Jim Broadbent', 'Kristin Scott Thomas', 'Adrian Dunbar', 'Maggie Smith', 'Tim McInnerny', 'Robert Downey Jr.', 'Edward Hardwicke', 'Nigel Hawthorne', 'Jim Carter', 'Dominic West', 'John Wood', 'Roger Hammond', 'Bill Paterson', 'Donald Sumpter', 'James Dreyfus', 'Derek Lyons']",Richard Loncraine
10000000,"['Action', 'Crime', 'Drama', 'History']",11443,9.87957,1995-10-06,0.0,Dead Presidents,6.6,80.0,1995.0,0.0,"['Larenz Tate', 'Keith David', 'Chris Tucker', 'Freddy Rodríguez', 'Rose Jackson', ""N'Bushe Wright"", 'Clifton Powell', 'Terrence Howard', 'Bokeem Woodbine', 'Sticky Fingaz', 'Clifton Collins Jr', 'Elizabeth Rodriguez', 'Michael Imperioli']",Albert Hughes
19000000,"['Drama', 'Romance']",35196,10.979269,1995-12-29,0.0,Restoration,6.3,30.0,1995.0,0.0,"['Robert Downey Jr.', 'Meg Ryan', 'Sam Neill', 'David Thewlis', 'Hugh Grant', 'Polly Walker', 'Ian McKellen', 'Ian McDiarmid', 'Mary MacLeod', 'Willie Ross']",Michael Hoffman
18000000,"['Action', 'Fantasy']",9312,10.870138,1995-08-18,122195920.0,Mortal Kombat,5.4,452.0,1995.0,6.788662222222222,"['Christopher Lambert', 'Robin Shou', 'Linden Ashby', 'Cary-Hiroyuki Tagawa', 'Bridgette Wilson', 'Talisa Soto', 'Trevor Goddard', 'Chris Casamassa', 'François Petit', 'Keith Cooke', 'Ed Boon']",Paul W.S. Anderson
20000000,"['Fantasy', 'Drama', 'Comedy', 'Thriller']",577,10.448481,1995-05-20,21284514.0,To Die For,6.7,177.0,1995.0,1.0642257,"['Nicole Kidman', 'Matt Dillon', 'Joaquin Phoenix', 'Casey Affleck', 'Illeana Douglas', 'Alison Folland', 'Dan Hedaya', 'Wayne Knight', 'David Cronenberg', 'Kurtwood Smith', 'Holland Taylor', 'Susan Traylor', 'Maria Tucci', 'Tim Hopper']",Gus Van Sant
10000000,"['Drama', 'Romance']",11861,4.485958,1995-10-06,23574130.0,How To Make An American Quilt,6.5,38.0,1995.0,2.357413,"['Winona Ryder', 'Anne Bancroft', 'Ellen Burstyn', 'Kate Nelligan', 'Jean Simmons', 'Maya Angelou', 'Alfre Woodard', 'Dermot Mulroney', 'Lois Smith', 'Kate Capshaw', 'Rip Torn', 'Johnathon Schaech', 'Samantha Mathis', 'Joanna Going', 'Esther Rolle', 'Jared Leto', 'Claire Danes', 'Lecy Goranson', 'Holland Taylor', 'Tim Guinee', ""Derrick O'Connor"", 'Loren Dean', 'Melinda Dillon', 'Richard Jenkins', 'Denis Arndt', 'Adam Baldwin', 'Michael McElroy', 'Ari Meyers', 'Jane Alden', 'Tamala Jones', ""Rae'Ven Larrymore Kelly"", 'Alicia Goranson', 'Will Estes', 'Mykelti Williamson']",Jocelyn Moorhouse
33000000,"['Crime', 'Mystery', 'Thriller']",807,18.45743,1995-09-22,327311859.0,Se7en,8.1,5915.0,1995.0,9.91854118181818,"['Brad Pitt', 'Morgan Freeman', 'Gwyneth Paltrow', 'John C. McGinley', 'Kevin Spacey', 'R. Lee Ermey', 'Richard Roundtree', 'Richard Schiff', 'Julie Araskog', 'Mark Boone Junior', 'John Cassini', 'Reg E. Cathey', 'Peter Crombie', 'Hawthorne James', 'Michael Massee', 'Leland Orser', 'Richard Portnow', 'Daniel Zacapa', 'Alfonso Freeman', 'Harris Savides', 'Andrew Kevin Walker', 'Richmond Arquette', 'Pamala Tyson', 'Emily Wagner', 'Shannon Wilcox', 'George Christy', 'Endre Hules', 'William Davidson', 'Bob Collins', 'Dominique Jennings', 'Allan Kolman', 'Gene Borkan', 'Mario Di Donato', 'Harrison White', 'Bob Stephenson', 'Michael Reid MacKay', 'Lennie Loftin', 'Martin Serene', 'David Correia', 'Lexie Bigham', 'Evan Mirand', 'Paul Eckstein', 'Rachel Flanagan', 'Heidi Schanz', 'Brian Evers', 'James Deeth', 'Charles A. Tamburro', 'Charles S. Dutton', 'Arthur Max']",David Fincher
